price,charges,surface,disposition,address,district
16100,3100,33,DISP_1_KK,"Federova, Praha - Kyje",Praha-Kyje
40621,7168,40,UNDEFINED,"Starokošířská, Praha - Košíře",Praha-Košíře
28000,6000,80,DISP_3_KK,"Amforova, Praha - Stodůlky",Praha-Stodůlky
15990,0,33,DISP_1_KK,"Freyova, Praha - Vysočany",Praha-Vysočany
24500,3000,51,DISP_2_1,"náměstí Josefa Machka, Praha - Košíře",Praha-Košíře
28953,5109,24,UNDEFINED,"Zbraslavská, Praha - Malá Chuchle",Praha-Malá Chuchle
14990,0,45,DISP_2_KK,"Donská, Praha - Vršovice",Praha-Vršovice
22900,4000,45,DISP_2_KK,"Holandská, Praha - Vršovice",Praha-Vršovice
25000,1500,50,DISP_2_KK,"U Křížku, Praha - Nusle",Praha-Nusle
62980,11114,48,UNDEFINED,"Chodská, Praha - Vinohrady",Praha-Vinohrady
25000,3095,42,DISP_2_KK,"Pekařova, Praha - Bohnice",Praha-Bohnice
23900,3900,70,DISP_2_1,"U Mydlárny, Praha - Stodůlky",Praha-Stodůlky
28328,4999,26,UNDEFINED,"Kališnická, Praha - Žižkov",Praha-Žižkov
26795,4729,160,UNDEFINED,"Ruská, Praha - Vršovice",Praha-Vršovice
22996,4058,16,UNDEFINED,"Kováků, Praha - Smíchov",Praha-Smíchov
12990,0,30,DISP_1_KK,"Pelušková, Praha - Kyje",Praha-Kyje
23500,0,51,DISP_2_KK,"Šmilovského, Praha - Vinohrady",Praha-Vinohrady
21000,1110,49,DISP_2_1,"Primátorská, Praha - Libeň",Praha-Libeň
23000,4200,69,DISP_2_1,"Pod Školou, Praha - Košíře",Praha-Košíře
50564,8923,30,UNDEFINED,"Washingtonova, Praha - Nové Město",Praha-Nové Město
15900,2500,39,DISP_2_KK,"Na Rokytce, Praha - Libeň",Praha-Libeň
18000,6000,39,DISP_1_KK,"Kurta Konráda, Praha - Libeň",Praha-Libeň
31000,7300,102,DISP_4_KK,"Nušlova, Praha - Stodůlky",Praha-Stodůlky
25000,1500,42,DISP_2_KK,"Dalimilova, Praha - Žižkov",Praha-Žižkov
