date,meal_type,name,price
2026-04-19,Polévka,Kuřecí vývar s nudlemi,22.0
2026-04-19,Hlavní jídlo,"Kuřecí roláda plněná, dušená rýže",103.0
2026-04-19,Hlavní jídlo,"Segedínský guláš, houskový knedlík",95.0
2026-04-19,Hlavní jídlo,"Mac and Cheese, malý míchaný salát",99.0
2026-04-19,Hlavní jídlo,"Čočkový kotlík, chléb",74.0
2026-04-19,Hlavní jídlo,"Vepřová kotleta na grilu, dip, americké brambory",107.0
2026-04-20,Polévka,Dršťková polévka z hlívy ústřičné,22.0
2026-04-20,Hlavní jídlo,"Hovězí stoganoff, dušená rýže",115.0
2026-04-20,Hlavní jídlo,"Domácí pečená sekaná, bramborová kaše, okurka",102.0
2026-04-20,Hlavní jídlo,Kuskusový nákyp se zeleninou,87.0
2026-04-20,Hlavní jídlo,Stir Fry rýžové nudle se zeleninou a edamame,115.0
2026-04-20,Hlavní jídlo,"Kuřecí stripsy,citrón, hranolky",124.0
2026-04-21,Polévka,Zeleninová polévka s praženou krupicí,22.0
2026-04-21,Hlavní jídlo,"Aljašská treska na rajčatech, bylinkách s petrželkou, brambory vařené",105.0
2026-04-21,Hlavní jídlo,"Srbské vepřové rizoto sypané sýrem, červená řepa sterilovaná",87.0
2026-04-21,Hlavní jídlo,Tagliatelle s omáčkou Funghi,101.0
2026-04-21,Hlavní jídlo,"Ratatouille s červenými fazolemi, pitta chléb",118.0
2026-04-21,Hlavní jídlo,"Krůtí nudličky na bylinkách, hranolky",114.0
2026-04-22,Polévka,Zelná polévka s bramborem,22.0
2026-04-22,Hlavní jídlo,"Vepřová plec na smetaně, houskový knedlík",86.0
2026-04-22,Hlavní jídlo,Penne Pollo Spinaci s kuřecím masem,103.0
2026-04-22,Hlavní jídlo,Zapečené bramborové noky s dýní a cizrnou,98.0
2026-04-22,Hlavní jídlo,"VEGAN Smažený sýr gouda, vařené brambory, vegan tatarská omáčka",107.0
2026-04-22,Hlavní jídlo,"Srnčí ragú na víně, karlovarské knedlíky",129.0
2026-04-23,Polévka,Hrstková polévka,22.0
2026-04-23,Hlavní jídlo,"Plněné papriky přírodní, vařené brambory",106.0
2026-04-23,Hlavní jídlo,"Kuřecí maso kung - pao, jasmínová rýže",86.0
2026-04-23,Hlavní jídlo,"Ovocné knedlíky s tvarohem, cukrem a jogurtovým přellivem",108.0
2026-04-23,Hlavní jídlo,"Falafel s s míchaným salátem, 1/2 smažené hranolky, veganská tatarská omáčka",124.0
2026-04-23,Hlavní jídlo,"Wrap s BBQ omáčkou , pečeným kuřecím stehenním masem a ledovým salátem",108.0
