zone,disposition_clean,avg_rent,n
center,1+1,22566.666666666668,3
center,1+KK,25472.85714285714,7
center,2+1,32422.222222222223,9
center,2+KK,32351.25,8
center,3+1,35800.0,1
center,3+KK,36000.0,3
inner_city,1+1,21398.333333333332,36
inner_city,1+KK,21562.980891719744,157
inner_city,2+1,27749.073170731706,82
inner_city,2+KK,27787.143459915613,237
inner_city,3+1,33656.42424242424,33
inner_city,3+KK,35820.480769230766,52
inner_city,4+1,35623.6,5
inner_city,4+KK,43818.63636363636,11
inner_city,GARSONIERA,17148.46153846154,13
outer_or_suburbs,1+1,19295.23076923077,13
outer_or_suburbs,1+KK,20453.655172413793,116
outer_or_suburbs,2+1,25468.11111111111,27
outer_or_suburbs,2+KK,25619.24836601307,153
outer_or_suburbs,3+1,27477.64285714286,28
outer_or_suburbs,3+KK,31609.12,50
outer_or_suburbs,4+1,31800.0,3
outer_or_suburbs,4+KK,35123.75,8
outer_or_suburbs,GARSONIERA,14675.0,9
zone,disposition_clean,avg_rent,people,avg_rent_per_person
center,1+KK,25472.85714285714,1,25472.85714285714
center,2+KK,32351.25,2,16175.625
center,3+KK,36000.0,3,12000.0
inner_city,1+KK,21562.980891719744,1,21562.980891719744
inner_city,2+KK,27787.143459915613,2,13893.571729957806
inner_city,3+KK,35820.480769230766,3,11940.160256410256
outer_or_suburbs,1+KK,20453.655172413793,1,20453.655172413793
outer_or_suburbs,2+KK,25619.24836601307,2,12809.624183006536
outer_or_suburbs,3+KK,31609.12,3,10536.373333333333
