zone,disposition_clean,avg_rent
center,1+1,22566.666666666668
center,1+KK,25472.85714285714
center,2+1,32422.222222222223
center,2+KK,32351.25
center,3+1,35800.0
center,3+KK,36000.0
inner_city,1+1,21398.33333333333
inner_city,1+KK,21562.980891719744
inner_city,2+1,27749.073170731703
inner_city,2+KK,27787.143459915613
inner_city,3+1,33656.42424242424
inner_city,3+KK,35820.480769230766
inner_city,4+1,35623.6
inner_city,4+KK,43818.63636363636
inner_city,GARSONIERA,17148.46153846154
outer_or_suburbs,1+1,19295.23076923077
outer_or_suburbs,1+KK,20453.655172413797
outer_or_suburbs,2+1,25468.11111111111
outer_or_suburbs,2+KK,25619.24836601307
outer_or_suburbs,3+1,27477.64285714286
outer_or_suburbs,3+KK,31609.12
outer_or_suburbs,4+1,31800.0
outer_or_suburbs,4+KK,35123.75
outer_or_suburbs,GARSONIERA,14675.0
