price,charges,surface,disposition,address,district,full_cost,disposition_clean,price_per_m2,zone
16100,3100,33,DISP_1_KK,"Federova, Praha - Kyje",Kyje,19200,1+KK,581.8181818181819,outer_or_suburbs
40621,7168,40,UNDEFINED,"Starokošířská, Praha - Košíře",Košíře,47789,,1194.725,inner_city
28000,6000,80,DISP_3_KK,"Amforova, Praha - Stodůlky",Stodůlky,34000,3+KK,425.0,outer_or_suburbs
15990,0,33,DISP_1_KK,"Freyova, Praha - Vysočany",Vysočany,15990,1+KK,484.54545454545456,inner_city
24500,3000,51,DISP_2_1,"náměstí Josefa Machka, Praha - Košíře",Košíře,27500,2+1,539.2156862745098,inner_city
28953,5109,24,UNDEFINED,"Zbraslavská, Praha - Malá Chuchle",Malá Chuchle,34062,,1419.25,outer_or_suburbs
14990,0,45,DISP_2_KK,"Donská, Praha - Vršovice",Vršovice,14990,2+KK,333.1111111111111,inner_city
22900,4000,45,DISP_2_KK,"Holandská, Praha - Vršovice",Vršovice,26900,2+KK,597.7777777777778,inner_city
25000,1500,50,DISP_2_KK,"U Křížku, Praha - Nusle",Nusle,26500,2+KK,530.0,inner_city
25000,3095,42,DISP_2_KK,"Pekařova, Praha - Bohnice",Bohnice,28095,2+KK,668.9285714285714,outer_or_suburbs
23900,3900,70,DISP_2_1,"U Mydlárny, Praha - Stodůlky",Stodůlky,27800,2+1,397.14285714285717,outer_or_suburbs
28328,4999,26,UNDEFINED,"Kališnická, Praha - Žižkov",Žižkov,33327,,1281.8076923076924,inner_city
26795,4729,160,UNDEFINED,"Ruská, Praha - Vršovice",Vršovice,31524,,197.025,inner_city
22996,4058,16,UNDEFINED,"Kováků, Praha - Smíchov",Smíchov,27054,,1690.875,inner_city
12990,0,30,DISP_1_KK,"Pelušková, Praha - Kyje",Kyje,12990,1+KK,433.0,outer_or_suburbs
23500,0,51,DISP_2_KK,"Šmilovského, Praha - Vinohrady",Vinohrady,23500,2+KK,460.7843137254902,inner_city
21000,1110,49,DISP_2_1,"Primátorská, Praha - Libeň",Libeň,22110,2+1,451.2244897959184,inner_city
23000,4200,69,DISP_2_1,"Pod Školou, Praha - Košíře",Košíře,27200,2+1,394.2028985507246,inner_city
50564,8923,30,UNDEFINED,"Washingtonova, Praha - Nové Město",Nové Město,59487,,1982.9,center
15900,2500,39,DISP_2_KK,"Na Rokytce, Praha - Libeň",Libeň,18400,2+KK,471.79487179487177,inner_city
18000,6000,39,DISP_1_KK,"Kurta Konráda, Praha - Libeň",Libeň,24000,1+KK,615.3846153846154,inner_city
31000,7300,102,DISP_4_KK,"Nušlova, Praha - Stodůlky",Stodůlky,38300,4+KK,375.4901960784314,outer_or_suburbs
25000,1500,42,DISP_2_KK,"Dalimilova, Praha - Žižkov",Žižkov,26500,2+KK,630.952380952381,inner_city
22000,4300,40,DISP_1_KK,"Bukačova, Praha - Vysočany",Vysočany,26300,1+KK,657.5,inner_city
43226,7628,35,UNDEFINED,"Sevastopolská, Praha - Vršovice",Vršovice,50854,,1452.9714285714285,inner_city
24000,6000,52,DISP_2_1,"Dělnická, Praha - Holešovice",Holešovice,30000,2+1,576.9230769230769,inner_city
37900,0,89,DISP_3_KK,"Kubelíkova, Praha - Žižkov",Žižkov,37900,3+KK,425.8426966292135,inner_city
21000,3370,45,DISP_2_KK,"Zelenky-Hajského, Praha - Žižkov",Žižkov,24370,2+KK,541.5555555555555,inner_city
16500,2314,28,DISP_1_KK,"Ve Struhách, Praha - Bubeneč",Bubeneč,18814,1+KK,671.9285714285714,inner_city
16000,3300,33,DISP_1_KK,"Oty Bubeníčka, Praha - Uhříněves",Uhříněves,19300,1+KK,584.8484848484849,outer_or_suburbs
26500,2300,43,DISP_2_KK,"Na Maninách, Praha - Holešovice",Holešovice,28800,2+KK,669.7674418604652,inner_city
21000,4700,52,DISP_2_KK,"Seifertova, Praha - Žižkov",Žižkov,25700,2+KK,494.2307692307692,inner_city
11500,2000,17,DISP_1_KK,"Na Cikánce, Praha - Radotín",Radotín,13500,1+KK,794.1176470588235,outer_or_suburbs
21000,5000,42,DISP_2_KK,"U Stojanu, Praha - Chodov",Chodov,26000,2+KK,619.047619047619,outer_or_suburbs
26900,4650,69,DISP_2_1,"Polní, Praha - Břevnov",Břevnov,31550,2+1,457.2463768115942,inner_city
46684,20760,82,UNDEFINED,". května, Praha - Nusle",Nusle,67444,,822.4878048780488,inner_city
13000,2500,77,DISP_3_1,"Bryksova, Praha - Černý Most",Černý Most,15500,3+1,201.2987012987013,outer_or_suburbs
24500,6000,54,DISP_2_1,"Bohnická, Praha - Bohnice",Bohnice,30500,2+1,564.8148148148148,outer_or_suburbs
32000,8445,96,DISP_4_KK,"Biskupcova, Praha - Žižkov",Žižkov,40445,4+KK,421.3020833333333,inner_city
21000,5000,66,DISP_2_KK,"Nad Rybníkem, Únětice - Únětice u Prahy, Středočeský kraj",Únětice,26000,2+KK,393.93939393939394,outer_or_suburbs
17000,6200,45,DISP_2_KK,"Frýdlantská, Praha - Kobylisy",Kobylisy,23200,2+KK,515.5555555555555,inner_city
27500,3446,61,DISP_2_1,"náměstí Hrdinů, Praha - Nusle",Nusle,30946,2+1,507.3114754098361,inner_city
19490,0,32,DISP_1_KK,"Poděbradská, Praha - Hloubětín",Hloubětín,19490,1+KK,609.0625,outer_or_suburbs
23990,0,55,DISP_2_KK,"Kryšpínova, Praha - Štěrboholy",Štěrboholy,23990,2+KK,436.1818181818182,outer_or_suburbs
25000,7000,60,DISP_2_KK,"Kramperova, Praha - Kamýk",Kamýk,32000,2+KK,533.3333333333334,outer_or_suburbs
