zone,disposition_clean,avg_rent,avg_m2_price,count
center,1+1,22566.666666666668,687.6725327812284,3
center,1+KK,25472.85714285714,976.2911255411256,7
center,2+1,31237.5,494.8239648423472,8
center,2+KK,31115.714285714286,703.4495202336254,7
center,3+1,35800.0,421.1764705882353,1
center,3+KK,36000.0,500.0,3
inner_city,1+1,21398.333333333332,545.719974658148,36
inner_city,1+KK,21562.980891719744,706.0964409377119,157
inner_city,2+1,27749.073170731706,469.8209991598253,82
inner_city,2+KK,27415.57327586207,546.5960718801537,232
inner_city,3+1,29618.52,382.83601283895257,25
inner_city,3+KK,33512.333333333336,457.2492859862095,42
inner_city,4+1,26436.666666666668,414.98653198653193,3
inner_city,4+KK,34990.0,393.1861233419636,3
inner_city,5+1,10401.0,122.36470588235294,1
inner_city,5+KK,39000.0,443.1818181818182,1
inner_city,6+1,12000.0,92.3076923076923,1
inner_city,GARSONIERA,17148.46153846154,689.8376267755987,13
outer_or_suburbs,1+1,19295.23076923077,516.7034680906138,13
outer_or_suburbs,1+KK,20453.655172413793,611.8762001603866,116
outer_or_suburbs,2+1,25468.11111111111,450.6692047312994,27
outer_or_suburbs,2+KK,25619.24836601307,509.1628861387042,153
outer_or_suburbs,3+1,26999.037037037036,342.2491056248856,27
outer_or_suburbs,3+KK,30161.355555555554,421.44411017672365,45
outer_or_suburbs,4+1,21950.0,254.47712418300654,2
outer_or_suburbs,4+KK,24300.0,282.8755788263553,4
outer_or_suburbs,GARSONIERA,14675.0,659.8861970502837,9
