dorm,room_type,price,beds,facilities,monthly_cost
Kolej Budeč,1-lůžkový pokoj bez soc. zař.,230,1,No,6900
Kolej Budeč,2-lůžkový pokoj bez soc. zař.,176,2,No,5280
Kolej Budeč,3-lůžkový pokoj bez soc. zař.,146,3,No,4380
Kolej Hostivař,1-lůžkový pokoj se soc. zař.,196,1,Yes,5880
Kolej Hostivař,2-lůžkový pokoj bez soc. zař.,151,2,No,4530
Kolej Hostivař,2-lůžkový pokoj se soc. zař.,164,2,Yes,4920
Kolej Hvězda,1-lůžkový pokoj bez soc. zař.,198,1,No,5940
Kolej Hvězda,2-lůžkový pokoj bez soc. zař.,155,2,No,4650
Kolej Hvězda,2-lůžkový pokoj se soc. zař.,242,2,Yes,7260
Kolej Hvězda,1-lůžkový pokoj se soc. zař.,269,1,Yes,8070
Kolej Jednota,1-lůžkový pokoj bez soc. zař.,232,1,No,6960
Kolej Jednota,2-lůžkový pokoj bez soc. zař.,193,2,No,5790
Kolej Jednota,3-lůžkový pokoj bez soc. zař.,154,3,No,4620
Kolej Jednota,4-lůžkový pokoj bez soc. zař.,144,4,No,4320
Kolej Kajetánka,1-lůžkový pokoj se soc. zař.,233,1,Yes,6990
Kolej Kajetánka,2-lůžkový pokoj se soc. zař.,183,2,Yes,5490
Kolej Komenského,1-lůžkový pokoj se soc. zař.,267,1,Yes,8010
Kolej Na Větrníku,1-lůžkový pokoj bez soc. zař.,190,1,No,5700
Kolej Na Větrníku,2-lůžkový pokoj bez soc. zař.,140,2,No,4200
Kolej Na Větrníku,3-lůžkový pokoj bez soc. zař.,126,3,No,3780
Kolej Otava,1-lůžkový pokoj se soc. zař.,198,1,Yes,5940
Kolej Otava,2-lůžkový pokoj se soc. zař.,153,2,Yes,4590
Kolej Otava,3-lůžkový pokoj se soc. zař.,146,3,Yes,4380
Kolej Švehlova,1-lůžkový pokoj bez soc. zař.,176,1,No,5280
Kolej Švehlova,2-lůžkový pokoj bez soc. zař.,148,2,No,4440
Kolej Švehlova,3-lůžkový pokoj bez soc. zař.,119,3,No,3570
Kolej Švehlova,3-lůžkový pokoj se soc. zař.,119,3,Yes,3570
Kolej Švehlova,4-lůžkový pokoj bez soc. zař.,107,4,No,3210
Kolej 17. listopadu,2-lůžkový pokoj se soc. zař.,174,2,Yes,5220
Kolej Vltava,1-lůžkový pokoj se soc.zař.,198,1,No,5940
Kolej Vltava,2-lůžkový pokoj se soc. zař.,153,2,Yes,4590
Kolej Krystal,1-lůžkový pokoj se soc. zař. ,444,1,Yes,13320
Kolej Krystal,2-lůžkový pokoj se soc. zař.,310,2,Yes,9300
