dorm,room_type,monthly_cost,beds,facilities
Kolej Budeč,1-lůžkový pokoj bez soc. zař.,230,1,No
Kolej Budeč,2-lůžkový pokoj bez soc. zař.,176,2,No
Kolej Budeč,3-lůžkový pokoj bez soc. zař.,146,3,No
Kolej Hostivař,1-lůžkový pokoj se soc. zař.,196,1,Yes
Kolej Hostivař,2-lůžkový pokoj bez soc. zař.,151,2,No
Kolej Hostivař,2-lůžkový pokoj se soc. zař.,164,2,Yes
Kolej Hvězda,1-lůžkový pokoj bez soc. zař.,198,1,No
Kolej Hvězda,2-lůžkový pokoj bez soc. zař.,155,2,No
Kolej Hvězda,2-lůžkový pokoj se soc. zař.,242,2,Yes
Kolej Hvězda,1-lůžkový pokoj se soc. zař.,269,1,Yes
Kolej Jednota,1-lůžkový pokoj bez soc. zař.,232,1,No
Kolej Jednota,2-lůžkový pokoj bez soc. zař.,193,2,No
Kolej Jednota,3-lůžkový pokoj bez soc. zař.,154,3,No
Kolej Jednota,4-lůžkový pokoj bez soc. zař.,144,4,No
Kolej Kajetánka,1-lůžkový pokoj se soc. zař.,233,1,Yes
Kolej Kajetánka,2-lůžkový pokoj se soc. zař.,183,2,Yes
Kolej Komenského,1-lůžkový pokoj se soc. zař.,267,1,Yes
Kolej Na Větrníku,1-lůžkový pokoj bez soc. zař.,190,1,No
Kolej Na Větrníku,2-lůžkový pokoj bez soc. zař.,140,2,No
Kolej Na Větrníku,3-lůžkový pokoj bez soc. zař.,126,3,No
Kolej Otava,1-lůžkový pokoj se soc. zař.,198,1,Yes
Kolej Otava,2-lůžkový pokoj se soc. zař.,153,2,Yes
Kolej Otava,3-lůžkový pokoj se soc. zař.,146,3,Yes
Kolej Švehlova,1-lůžkový pokoj bez soc. zař.,176,1,No
Kolej Švehlova,2-lůžkový pokoj bez soc. zař.,148,2,No
Kolej Švehlova,3-lůžkový pokoj bez soc. zař.,119,3,No
Kolej Švehlova,3-lůžkový pokoj se soc. zař.,119,3,Yes
Kolej Švehlova,4-lůžkový pokoj bez soc. zař.,107,4,No
Kolej 17. listopadu,2-lůžkový pokoj se soc. zař.,174,2,Yes
Kolej Vltava,1-lůžkový pokoj se soc.zař.,198,1,No
Kolej Vltava,2-lůžkový pokoj se soc. zař.,153,2,Yes
Kolej Krystal,1-lůžkový pokoj se soc. zař. ,444,1,Yes
Kolej Krystal,2-lůžkový pokoj se soc. zař.,310,2,Yes
