item,unit_price,store
banany,6.95,rohlik
cervena_cocka,29.9,billa
cesnek,64.9,kosik
chleb,42.5,kosik
cibule,19.9,kosik
jogurt,22.9,billa
kava,79.9,billa
kureci_prsa,94.9,kosik
maslo,34.9,lidl
mleko,9.9,kosik
mrazena_zelenina,19.9,billa
ovesne_vlocky,11.9,lidl
ovesny_napoj,27.9,rohlik
paprika,9.49,kosik
pesto,29.9,billa
rajcatova_omacka,19.9,rohlik
repkovy_olej,34.9,billa
ryze,29.9,rohlik
sojovy_napoj,29.9,rohlik
spagety,11.9,lidl
syr_eidam,35.9,kosik
tofu,22.9,billa
tunak,37.9,kosik
vejce,34.9,billa
