title,price,packaging,item
Breadway Kváskový toustáček žitný,37.9,400 g,bread
"Miil Trvanlivé polotučné mléko 1,5%",14.9,1 l,milk
Varmuža Ruské vejce v aspiku,34.9,200 g,egg_salad
Dr. Halíř Máslo,40.9,125 g,butter
Světničkové kuře prsní řízek,59.78,cca 230 g,chicken
Kitchin Spaghetti N. 5,15.9,500 g,pasta
Kitchin Rýže jasmínová,24.9,500 g,rice
Kitchin Celá loupaná rajčata v rajčatové šťávě,24.9,400 g,chopped_tomatoes
Cibule žlutá 1 ks,1.85,cca 90 g,onion
Agro Jesenice Zelenina s kukuřicí,20.9,350 g,frozen_vegetables
"Miil Krémový jogurt bílý 3,7 % tuku",7.9,150 g,yoghurt
Mokate Café Irish Kávový nápoj 3v1,35.9,170 g,coffee
Banán 1 ks,7.78,cca 190 g,banana
Jablečná kapsa,12.9,105 g,pastry
Pšeničná mouka polohrubá,9.9,1 kg,flour
Špagety,11.9,500 g,pasta
Máslový croissant,7.9,74 g,pastry
BIO Kuřecí prsní řízky,59.9,Dostupné pouze ve vybraných prodejnách,chicken
Špagety,15.9,500 g,pasta
Dlouhozrnná rýže v varných sáčcích,19.9,4x100 g,rice
Jablečná kapsa,12.9,105 g,pastry
Cibule žlutá,36.9,5 kg - balení,onion
Avokado zelené,14.9,kus,avocado
"Bio jogurt bílý 3,8%, tuku",9.9,150 g,yoghurt
Cavatappi,15.9,500 g,pasta
Bio protlak jablko-banán,13.9,100 g,fruit_puree
