item_czech,item,billa_title,billa_price_czk,billa_packaging,billa_price_per_unit,lidl_title,lidl_price_czk,lidl_packaging,lidl_price_per_unit,kosik_title,kosik_price_czk,kosik_packaging,kosik_price_per_unit,rohlik_title,rohlik_price_czk,rohlik_packaging,rohlik_price_per_unit
banany,bananas,CORNY proteinová tyčinka 30% banán 50g,51.9,50 g,1.038,,,,,"Banán, 1 ks",6.783,170.0 g,0.0399,Banán 1 ks,6.95,cca 190 g,0.036578947368421
cervena_cocka,red lentils,BILLA Čočka červená 500g,29.9,500 g,0.0598,,,,,Fine Life Čočka červená,34.9,500.0 g,0.0698,Kitchin Červená čočka,33.9,500 g,0.0678
cesnek,garlic,"Česká Farma Česnek síťka, 200g",49.9,200 g,0.2495,Česnek,39.9,,,Česnek drcený porce,64.9,1.0 kg,0.0649,"Česnek ""ošklivák"" český, síť",69.9,350 g,0.1997142857142857
chleb,bread,"Chléb Chalupářský, 850g kulatý",58.9,850 g,0.0692941176470588,Dřevorubecký chléb,23.9,405 g,0.0590123456790123,Český pekař Chléb konzumní,42.5,1.2 kg,0.0354166666666666,Merhautovo pekařství Chléb žitný,35.9,400 g,0.08975
cibule,onion,"Česká Farma Cibule 1kg, síť",20.9,1 kg,0.0209,,,,,"Cibule žlutá, síť",19.9,1.0 kg,0.0198999999999999,"Cibule žlutá, síť",19.9,1 kg,0.0198999999999999
jogurt,yogurt,clever Jogurt bílý s bifidokulturou 500g,22.9,500 g,0.0458,Bílý jogurt,17.9,300 g,0.0596666666666666,"ARO Jogurt bílý 1,5% tuku",19.9,400.0 g,0.0497499999999999,Hollandia Nízkotučný jogurt bílý,17.9,380 g,0.0471052631578947
kava,coffee,Tira Crema pražená mletá káva 250g,79.9,250 g,0.3196,,,,,Casino Káva mletá BRASIL,119.9,250.0 g,0.4796,Ubomi Intense RFA mletá káva,84.9,250 g,0.3396
kureci_prsa,chicken breast,VOCÍLKA Kuřecí prsní řízky premium,259.9,1 kg,0.2598999999999999,BIO Kuřecí prsní řízky,59.9,Dostupné pouze ve vybraných prodejnách,,Fine Life Kuřecí prsní řízky,94.9,500.0 g,0.1898,Kuřecí prsní řízky od českého výrobce XXL balení,263.88,"cca 1,2 kg",0.2198999999999999
maslo,butter,Milkpol Máslo 82% 250 g,39.9,250 g,0.1596,Perla Margarín s máslovou příchutí 39% tuku,34.9,450 g,0.0775555555555555,Tatra Farmářské máslo (84%),34.9,200.0 g,0.1745,Miil Máslo 82%,44.9,250 g,0.1795999999999999
mleko,milk,"clever Mléko polotučné trvanlivé 1,5 % tuku 1l",12.9,1 l,0.0129,"Trvanlivé mléko 1,5%",12.9,1 l,0.0129,"Fine Life Polotučné trvanlivé mléko 1,5%",9.9,1.0 l,0.0099,"Miil Trvanlivé polotučné mléko 1,5%",14.9,1 l,0.0149
mrazena_zelenina,frozen vegetables,clever Zeleninová směs podsvíčková 450g,19.9,450 g,0.0442222222222222,,,,,ARO  Zeleninová směs pod svíčkovou,19.9,400.0 g,0.0497499999999999,Agro Jesenice Zelenina s kukuřicí,20.9,350 g,0.0597142857142857
ovesne_vlocky,oat flakes,clever Ovesné vločky celozrnné 500g,13.9,500 g,0.0278,Ovesné vločky hrub,11.9,500 g,0.0238,Vločkárna Vřesce Ovesné vločky,21.9,450.0 g,0.0486666666666666,Yutto Celozrnné ovesné vločky extra jemné,11.9,500 g,0.0238
ovesny_napoj,oat drink,BILLA BIO Ovesný nápoj 1l,33.9,1 l,0.0339,,,,,Metro Chef BIO Nápoj ovesný,35.9,1.0 l,0.0359,Yutto BIO Ovesný nápoj,27.9,1 l,0.0278999999999999
paprika,bell pepper,"Bon Via Paprika mix barev 500g, balení",59.9,500 g,0.1198,,,,,"Paprika bílá, 1 ks",9.49,100.0 g,0.0949,Paprika žlutá 1 ks,20.54,cca 210 g,0.0978095238095238
pesto,pesto,clever Bazalkové pesto 190g,29.9,190 g,0.1573684210526315,,,,,Casino Bazalkové pesto,64.9,190.0 g,0.3415789473684211,Kitchin Bazalkové pesto alla Genovese,37.9,190 g,0.1994736842105263
rajcatova_omacka,tomato sauce,Franz Josef Kaiser Exclusive Napoletana rajčatová omáčka se zeleninou 350g,44.9,350 g,0.1282857142857142,,,,,Mutti Omáčka rajčatová na pizzu+bylinky,47.9,400.0 g,0.11975,Kitchin Pečené fazole v rajčatové omáčce,19.9,420 g,0.0473809523809523
repkovy_olej,rapeseed oil,clever Řepkový olej 1l,34.9,1 l,0.0349,Řepkový olej,34.9,1 l,0.0349,Fabio Manka řepkový olej,54.9,1.0 l,0.0549,Kitchin Řepkový olej,34.9,1 l,0.0349
ryze,rice,BILLA Dlouhozrnná rýže loupaná 1000g,44.9,1 kg,0.0448999999999999,,,,,ARO Rýže dlouhozrnná parboiled,34.9,1.0 kg,0.0349,Kitchin Rýže dlouhozrnná,29.9,1 kg,0.0299
sojovy_napoj,soy drink,BILLA BIO Sójový nápoj 1l,33.9,1 l,0.0339,,,,,Metro Chef BIO Nápoj sójový,48.9,1.0 l,0.0489,Yutto BIO Sójový nápoj,29.9,1 l,0.0299
spagety,spaghetti,Franz Josef Kaiser Exclusive Špagety 500g,29.9,500 g,0.0598,Špagety,11.9,500 g,0.0238,ARO Špagety bezvaječné,12.9,500.0 g,0.0258,Špagety,12.9,400 g,0.03225
syr_eidam,edam cheese,clever Eidam bloček 30% 250g,44.9,250 g,0.1795999999999999,PILOS Eidam,9.9,,,Fine Life Eidam 30 % bloček,35.9,200.0 g,0.1795,Miil Eidam 30% bloček,44.9,250 g,0.1795999999999999
tofu,tofu,LUNTER Naturální tofu 180g,22.9,180 g,0.1272222222222222,,,,,Lunter Tofu natural,23.9,180.0 g,0.1327777777777777,SoYum Tofu,60.9,450 g,0.1353333333333333
tunak,tuna,Tuňák přírodní Vier Diamanten 195 g,77.82,195 g,0.399076923076923,Tuňák žlutoploutvý,39.9,cena za 100 g,0.3989999999999999,Giana Tuňák drcený ve vlastní šťávě,37.9,170.0 g,0.2229411764705882,Kitchin Tuňák celý ve slunečnicovém oleji,52.9,195 g,0.2712820512820513
vejce,eggs,BILLA Čerstvá vejce L 6 ks,34.9,6 ks,5.816666666666666,,,,,"Vejce Kosičky Čerstvá podestýlková vejce, vel. M",79.9,10.0 ks,,Pohodová vejce Podestýlková L,45.9,6 ks,7.649999999999999
