item,title_rohlik,rohlik,kosik,billa,lidl,online_avg,physical_avg
banany,Banán 1 ks,36.57894736842105,39.900000000000006,,,38.23947368421052,
cervena_cocka,Kitchin Červená čočka,33.9,34.9,29.9,,34.4,29.9
cesnek,"Česnek ""ošklivák"" český, síť",15.977142857142859,5.192,19.96,39.9,10.58457142857143,29.93
chleb,Merhautovo pekařství Chléb žitný,44.875,17.708333333333332,34.64705882352941,29.50617283950617,31.291666666666664,32.07661583151779
cibule,"Cibule žlutá, síť",9.95,9.95,10.45,,9.95,10.45
jogurt,Hollandia Nízkotučný jogurt bílý,14.13157894736842,14.924999999999999,13.74,17.9,14.52828947368421,15.82
kava,Ubomi Intense RFA mletá káva,84.9,119.9,79.9,,102.4,79.9
kureci_prsa,Kuřecí prsní řízky od českého výrobce XXL balení,109.94999999999999,94.9,129.95,59.9,102.425,94.925
maslo,Miil Máslo 82%,44.9,43.625,39.9,19.38888888888889,44.2625,29.644444444444446
mleko,"Miil Trvanlivé polotučné mléko 1,5%",29.8,19.8,25.8,25.8,24.8,25.8
mrazena_zelenina,Agro Jesenice Zelenina s kukuřicí,23.885714285714286,19.9,17.688888888888886,,21.892857142857142,17.688888888888886
ovesne_vlocky,Yutto Celozrnné ovesné vločky extra jemné,11.9,24.333333333333332,13.9,11.9,18.116666666666667,12.9
ovesny_napoj,Yutto BIO Ovesný nápoj,27.9,35.9,33.9,,31.9,33.9
paprika,Paprika žlutá 1 ks,29.34285714285714,28.47,35.94,,28.90642857142857,35.94
pesto,Kitchin Bazalkové pesto alla Genovese,37.9,64.9,29.9,,51.400000000000006,29.9
rajcatova_omacka,Kitchin Pečené fazole v rajčatové omáčce,16.583333333333332,41.9125,44.9,,29.24791666666667,44.9
repkovy_olej,Kitchin Řepkový olej,6.98,10.979999999999999,6.98,6.98,8.98,6.98
ryze,Kitchin Rýže dlouhozrnná,14.95,17.45,22.45,,16.2,22.45
sojovy_napoj,Yutto BIO Sójový nápoj,29.9,48.9,33.9,,39.4,33.9
spagety,Špagety,16.125,12.9,29.9,11.9,14.5125,20.9
syr_eidam,Miil Eidam 30% bloček,35.919999999999995,35.9,35.919999999999995,9.9,35.91,22.909999999999997
tofu,SoYum Tofu,54.13333333333333,53.11111111111111,50.888888888888886,,53.62222222222222,50.888888888888886
tunak,Kitchin Tuňák celý ve slunečnicovém oleji,100.37435897435898,82.48823529411764,147.65846153846152,147.63,91.43129713423832,147.64423076923077
vejce,Pohodová vejce Podestýlková L,76.5,79.9,58.166666666666664,,78.2,58.166666666666664
