dorm,room_type,price
Kolej Budeč,1-lůžkový pokoj bez soc. zař.,230
Kolej Budeč,2-lůžkový pokoj bez soc. zař.,176
Kolej Budeč,3-lůžkový pokoj bez soc. zař.,146
Kolej Hostivař,1-lůžkový pokoj se soc. zař.,196
Kolej Hostivař,2-lůžkový pokoj bez soc. zař.,151
Kolej Hostivař,2-lůžkový pokoj se soc. zař.,164
Kolej Hvězda,1-lůžkový pokoj bez soc. zař.,198
Kolej Hvězda,2-lůžkový pokoj bez soc. zař.,155
Kolej Hvězda,2-lůžkový pokoj se soc. zař.,242
Kolej Hvězda,1-lůžkový pokoj se soc. zař.,269
Kolej Jednota,1-lůžkový pokoj bez soc. zař.,232
Kolej Jednota,2-lůžkový pokoj bez soc. zař.,193
Kolej Jednota,3-lůžkový pokoj bez soc. zař.,154
Kolej Jednota,4-lůžkový pokoj bez soc. zař.,144
Kolej Kajetánka,1-lůžkový pokoj se soc. zař.,233
Kolej Kajetánka,2-lůžkový pokoj se soc. zař.,183
Kolej Komenského,1-lůžkový pokoj se soc. zař.,267
Kolej Na Větrníku,1-lůžkový pokoj bez soc. zař.,190
Kolej Na Větrníku,2-lůžkový pokoj bez soc. zař.,140
Kolej Na Větrníku,3-lůžkový pokoj bez soc. zař.,126
Kolej Otava,1-lůžkový pokoj se soc. zař.,198
Kolej Otava,2-lůžkový pokoj se soc. zař.,153
Kolej Otava,3-lůžkový pokoj se soc. zař.,146
Kolej Švehlova,1-lůžkový pokoj bez soc. zař.,176
Kolej Švehlova,2-lůžkový pokoj bez soc. zař.,148
Kolej Švehlova,3-lůžkový pokoj bez soc. zař.,119
Kolej Švehlova,3-lůžkový pokoj se soc. zař.,119
Kolej Švehlova,4-lůžkový pokoj bez soc. zař.,107
Kolej 17. listopadu,2-lůžkový pokoj se soc. zař.,174
Kolej Vltava,1-lůžkový pokoj se soc.zař.,198
Kolej Vltava,2-lůžkový pokoj se soc. zař.,153
Kolej Krystal,1-lůžkový pokoj se soc. zař. ,444
Kolej Krystal,2-lůžkový pokoj se soc. zař.,310
