item,title,price_czk,packaging,price_per_unit
ovesne_vlocky,clever Ovesné vločky celozrnné 500g,13.9,500 g,0.027800000000000002
mleko,"clever Mléko polotučné trvanlivé 1,5 % tuku 1l",12.9,1 l,0.0129
banany,CORNY proteinová tyčinka 30% banán 50g,51.9,50 g,1.038
chleb,"Chléb Chalupářský, 850g kulatý",58.9,850 g,0.06929411764705883
maslo,Milkpol Máslo 82% 250 g,39.9,250 g,0.1596
vejce,BILLA Čerstvá vejce L 6 ks,34.9,6 ks,5.816666666666666
spagety,Franz Josef Kaiser Exclusive Špagety 500g,29.9,500 g,0.0598
pesto,clever Bazalkové pesto 190g,29.9,190 g,0.15736842105263157
ryze,BILLA Dlouhozrnná rýže loupaná 1000g,44.9,1 kg,0.044899999999999995
mrazena_zelenina,clever Zeleninová směs podsvíčková 450g,19.9,450 g,0.04422222222222222
kureci_prsa,VOCÍLKA Kuřecí prsní řízky premium,259.9,1 kg,0.25989999999999996
tofu,LUNTER Naturální tofu 180g,22.9,180 g,0.1272222222222222
cibule,"Česká Farma Cibule 1kg, síť",20.9,1 kg,0.0209
cesnek,"Česká Farma Česnek síťka, 200g",49.9,200 g,0.2495
syr_eidam,clever Eidam bloček 30% 250g,44.9,250 g,0.17959999999999998
tunak,Tuňák přírodní Vier Diamanten 195 g,77.82,195 g,0.39907692307692305
jogurt,clever Jogurt bílý s bifidokulturou 500g,22.9,500 g,0.0458
kava,Tira Crema pražená mletá káva 250g,79.9,250 g,0.3196
ovesny_napoj,BILLA BIO Ovesný nápoj 1l,33.9,1 l,0.0339
sojovy_napoj,BILLA BIO Sójový nápoj 1l,33.9,1 l,0.0339
repkovy_olej,clever Řepkový olej 1l,34.9,1 l,0.0349
cervena_cocka,BILLA Čočka červená 500g,29.9,500 g,0.0598
rajcatova_omacka,Franz Josef Kaiser Exclusive Napoletana rajčatová omáčka se zeleninou 350g,44.9,350 g,0.12828571428571428
paprika,"Bon Via Paprika mix barev 500g, balení",59.9,500 g,0.1198
