item,title,price,packaging
ovesne_vlocky,"Sunar kašička ovocná kapsička broskev, jablko, ovesné vločky 6m+, 120g",35.9,120 g
ovesne_vlocky,Emco Ovesné vločky jemné s vlákninou 500g,30.9,500 g
ovesne_vlocky,Ovesné vločky jemné 500 g,31.9,500 g
ovesne_vlocky,clever Ovesné vločky celozrnné 500g,13.9,500 g
ovesne_vlocky,Emco Ovesné vločky jemné celozrnné 500g,30.9,500 g
ovesne_vlocky,"BIO ovesné vločky bez lepku, jemné 250 g",46.9,250 g
ovesne_vlocky,Bona Vita Minutové ovesné vločky 350g,35.9,350 g
ovesne_vlocky,"Sunar kašička ovocná kapsička banán, jahoda, ovesné vločky 6m+, 120g",35.9,120 g
ovesne_vlocky,Ovesné vločky 500g,31.9,500 g
ovesne_vlocky,"Sunar kašička ovocná kapsička mix ovoce, ovesné vločky 6m+, 120g",35.9,120 g
ovesne_vlocky,BILLA BIO Ovesné vločky 500g,19.9,500 g
ovesne_vlocky,"Sunar kašička ovocná kapsička borůvka, jablko, ovesné vločky 6m+, 120g",35.9,120 g
ovesne_vlocky,clever Ovesné vločky jemné 500g,13.9,500 g
ovesne_vlocky,Gullón Sušenky bez lepku s ovsem a pomerančem 180 g,35.9,180 g
ovesne_vlocky,Bona Vita Dobré z ovsa mleté vločky 500g,47.9,500 g
ovesne_vlocky,BILLA BIO Pohankové vločky 250g,54.9,250 g
ovesne_vlocky,Mlýn a Krupárna Mrskoš Šumavské kroupy lámanka ječná 500g,26.9,500 g
ovesne_vlocky,Mlýn a Krupárna Mrskoš Šumavské kroupy – zabijačkové 500g,26.9,500 g
mleko,"Olma Čerstvé mléko polotučné 1,5% 1l",34.9,1 l
mleko,"Madeta Jihočeské čerstvé mléko polotučné 1,5% 1l",26.2,1 l
mleko,Bohemilk Sušené mléko polotučné 400g,126.9,400 g
mleko,"Srdce domova Mléko polotučné čerstvé 1,5% tuku 1l",20.9,1 l
mleko,Srdce domova Čerstvé mléko polotučné 1l,18.9,1 l
mleko,"Madeta Jihočeské trvanlivé mléko polotučné 1,5% 1l",24.9,1 l
mleko,"clever Mléko polotučné trvanlivé 1,5 % tuku 1l",12.9,1 l
mleko,"clever Čerstvé mléko polotučné 1,5% 1l",24.9,1 l
mleko,Moravia Mléko čerstvé polotučné 1l,27.9,1 l
mleko,Tatra Light zahuštěné neslazené polotučné mléko 4% 340g,37.9,340 g
banany,Banán,7.98,
banany,Naše BIO Banán - trs,46.16,
banany,Banány červené 2 ks,49.9,250 g
banany,BANÁN SUŠENÝ MRAZEM 40G,79.9,40 g
banany,Nice Bites Sušené banány krájené 100g,24.9,100 g
banany,Čokoládové müsli s jogurtem a banánem,41.9,250 g
banany,GERBER Organic křupky banánové 35g,69.9,35 g
banany,X NESTLE BIO HRUSKA JABLKO BANAN 90G,32.04,90 g
banany,LINECKE POLOM.BANANKY S OVOC.NAP.210G,26.2,210 g
banany,Dr. Oetker Puding příchuť banán 38g,11.9,38 g
banany,Casali Schoko Bananen 110g,49.9,110 g
banany,Hello Ovocná svačinka s banány 100g,11.9,100 g
banany,ACTIVIA Nápoj bez přidaného cukru jablko/třešeň/banán 270g,32.9,270 g
banany,BILLA Mini müsli tyčinky banánové 70g,19.9,70 g
banany,Kiwi + bobuloviny 170g,119.9,145 g
banany,Goodies křupky srdíčka banán a jahoda 30g,34.9,30 g
banany,"Hamánek 100% ovoce, Hruška & banán 100g",27.9,100 g
banany,Kubík baby jablko-broskev-mrkev-banán 100g,19.9,100 g
banany,E-NESTLE FRUKT JAHOD-JABL-BANAN 6+ 90 G,33.99,90 g
banany,"Sunar Cool ovocná kapsička malina, banán, jablko 12m+, 120g",33.9,120 g
banany,ORION BANÁNY želé tyčinka v hořké čokoládě 45g,26.2,45 g
banany,Koblihový banánek s vanilkovým krémem,13.9,75 g
banany,E-NESTLE MLICKO S KASI BANAN 2X200ML,81.35,400 ml
banany,Müller Müllermilch Protein mléčný nápoj s čokoládovo-banánovou příchutí 400g,39.9,400 g
