item,title,price_czk,packaging,price_per_unit
ovesne_vlocky,Vločkárna Vřesce Ovesné vločky,21.9,450.0 g,0.048666666666666664
mleko,"Fine Life Polotučné trvanlivé mléko 1,5%",9.9,1.0 l,0.0099
banany,"Banán, 1 ks",6.783,170.0 g,0.039900000000000005
chleb,Český pekař Chléb konzumní,42.5,1.2 kg,0.035416666666666666
maslo,Tatra Farmářské máslo (84%),34.9,200.0 g,0.1745
vejce,"Vejce Kosičky Čerstvá podestýlková vejce, vel. M",79.9,10.0 ks,
spagety,ARO Špagety bezvaječné,12.9,500.0 g,0.0258
pesto,Casino Bazalkové pesto,64.9,190.0 g,0.3415789473684211
ryze,ARO Rýže dlouhozrnná parboiled,34.9,1.0 kg,0.0349
mrazena_zelenina,ARO  Zeleninová směs pod svíčkovou,19.9,400.0 g,0.049749999999999996
kureci_prsa,Fine Life Kuřecí prsní řízky,94.9,500.0 g,0.18980000000000002
tofu,Lunter Tofu natural,23.9,180.0 g,0.13277777777777777
cibule,"Cibule žlutá, síť",19.9,1.0 kg,0.019899999999999998
cesnek,Česnek drcený porce,64.9,1.0 kg,0.0649
syr_eidam,Fine Life Eidam 30 % bloček,35.9,200.0 g,0.1795
tunak,Giana Tuňák drcený ve vlastní šťávě,37.9,170.0 g,0.22294117647058823
jogurt,"ARO Jogurt bílý 1,5% tuku",19.9,400.0 g,0.049749999999999996
kava,Casino Káva mletá BRASIL,119.9,250.0 g,0.4796
ovesny_napoj,Metro Chef BIO Nápoj ovesný,35.9,1.0 l,0.0359
sojovy_napoj,Metro Chef BIO Nápoj sójový,48.9,1.0 l,0.0489
repkovy_olej,Fabio Manka řepkový olej,54.9,1.0 l,0.0549
cervena_cocka,Fine Life Čočka červená,34.9,500.0 g,0.0698
rajcatova_omacka,Mutti Omáčka rajčatová na pizzu+bylinky,47.9,400.0 g,0.11975
paprika,"Paprika bílá, 1 ks",9.49,100.0 g,0.0949
