item,title,price,packaging
ovesne_vlocky,Emco Ovesné vločky jemné s vlákninou,29.9,500.0 g
ovesne_vlocky,Bonavita Ovesné vločky jemné celozrnné,31.9,500.0 g
ovesne_vlocky,Bonavita Ovesné vločky celozrnné,31.9,500.0 g
ovesne_vlocky,Vločkárna Vřesce Ovesné vločky,21.9,450.0 g
ovesne_vlocky,Emco Ovesné vločky jemné,29.9,500.0 g
ovesne_vlocky,Bonavita Ovesné vločky velké,17.9,350.0 g
ovesne_vlocky,Bonavita Minutové ovesné vločky,42.9,350.0 g
ovesne_vlocky,ALNATURA BIO Vločky ovesné jemné,54.9,500.0 g
ovesne_vlocky,"Bonavita Ovesné vločky jemné, bez lepku",34.9,500.0 g
ovesne_vlocky,Probio Vločky ovesné  bezlepkové BIO,69.9,500.0 g
ovesne_vlocky,"Bonavita Ovesné vločky celé, bez lepku",34.9,500.0 g
ovesne_vlocky,Bonavita Ovesné vločky s vlákninou,31.9,500.0 g
ovesne_vlocky,Vilgain Minutové ovesné vločky,54.9,500.0 g
ovesne_vlocky,ALNATURA BIO Vločky ovesné velké,59.9,500.0 g
ovesne_vlocky,Mixit Creamy Oats – Minutové ovesné vločky,84.9,750.0 g
ovesne_vlocky,Gold plus Vločky ovesné výběrové,23.9,400.0 g
ovesne_vlocky,Bonavita Protein fit minutové ovesné vločky,64.9,350.0 g
ovesne_vlocky,Šufan Bezlepkové vločky,74.9,500.0 g
ovesne_vlocky,Monoprix BIO Celozrnné ovesné vločky,59.9,500.0 g
ovesne_vlocky,"Sunar Smootík dětská kapsička mango, kokosové mléko, ovesné vločky, 12 m+",34.9,120.0 g
ovesne_vlocky,"Corny Smoothie kapsička banán, maliny, borůvky, ovesné vločky",37.9,120.0 g
ovesne_vlocky,ALNATURA BIO Otruby ovesné s klíčky,79.9,500.0 g
ovesne_vlocky,"Sunar Smootík dětská kapsička malina, jogurt, ovesné vločky, 12 m+",33.9,120.0 g
ovesne_vlocky,"Sunar Kapsička ovocná kašička borůvka, jablko a ovesné vločky",33.9,120.0 g
ovesne_vlocky,"Sunar Smootík dětská kapsička borůvka, jogurt, ovesné vločky, 12 m+",33.9,120.0 g
ovesne_vlocky,"Fruchtbar BIO Ovocná kapsička s hruškami, borůvkami, jahodami, dýní ovesnými vločkami",44.9,100.0 g
ovesne_vlocky,Relax Snack pyré s ovesnými vločkami,19.9,100.0 g
ovesne_vlocky,"Beggs BIO Smoothie s ovocem, jogurtem a ovesnými vločkami",39.9,120.0 g
ovesne_vlocky,"Sunar Kapsička ovocná kašička hruška, meruňka a ovesné vločky",33.9,120.0 g
ovesne_vlocky,"Corny Smoothie kapsička jablko, jahoda, borůvka, ovesné vločky",39.9,120.0 g
mleko,"Tatra Trvanlivé polotučné mléko (1,5%)",16.9,1.0 l
mleko,"Fine Life Polotučné trvanlivé mléko 1,5%",9.9,1.0 l
mleko,"Baskeeto Čerstvé polotučné mléko 1,5%",18.9,1.0 l
mleko,"Madeta Jihočeské mléko polotučné trvanlivé (1,5%)",24.9,1.0 l
mleko,"Fine Life Mléko čerstvé 1,5 %",24.9,1.0 l
mleko,"Pragolaktos Polotučné mléko bez laktózy (1,5%)",21.9,1.0 l
mleko,"Bohemilk Čerstvé mléko 1,5%",28.9,1.0 l
mleko,"Krajanka čerstvé mléko (1,5%)",26.9,1.0 l
mleko,"Pragolaktos Mléko trvanlivé 1,5 %",13.9,500.0 ml
mleko,"Tami BIO Tatranské čerstvé mléko (1,5%)",44.9,1.0 l
