item,title,price,packaging
ovesne_vlocky,Emco vločky ovesné jemné s vlákninou,31.9,500 g
ovesne_vlocky,Emco vločky ovesné jemné,31.9,500 g
ovesne_vlocky,Vilgain Minutové ovesné vločky,55.9,500 g
ovesne_vlocky,Yutto Celozrnné ovesné vločky extra jemné,11.9,500 g
ovesne_vlocky,Yutto Celozrnné ovesné vločky,11.9,500 g
ovesne_vlocky,Vilgain Minutové ovesné vločky bezlepkové,50.9,500 g
ovesne_vlocky,Alnatura BIO Ovesné vločky jemné,104.9,1 kg
ovesne_vlocky,Semix Klíčené ovesné vločky bez lepku,44.9,300 g
ovesne_vlocky,Bonavita Minutové ovesné vločky,42.9,350 g
ovesne_vlocky,Probio BIO Ovesné vločky bezlepkové,90.9,500 g
ovesne_vlocky,Bonavita Ovesné vločky jemné bez lepku,35.9,500 g
ovesne_vlocky,Alnatura BIO Jemné ovesné vločky,47.9,500 g
ovesne_vlocky,Alnatura BIO Ovesné vločky Jumbo,47.9,500 g
ovesne_vlocky,Bonavita Mleté ovesné vločky,66.9,500 g
ovesne_vlocky,Bonavita Ovesné vločky celé bez lepku,35.9,500 g
ovesne_vlocky,"Arax Vločky ovesné bezlepkové jemné, celozrnné",24.9,300 g
ovesne_vlocky,Alnavit BIO Ovesné celozrnné vločky velké bezlepkové,75.9,450 g
ovesne_vlocky,Alnatura BIO Křupavé ovesné vločky,172.9,"0,75 kg"
ovesne_vlocky,"Marks & Spencer Pečené celozrnné ovesné vločky s ořechy, semínky a sušeným ovocem",164.9,400 g
ovesne_vlocky,Marks & Spencer Bezlepkové ovesné vločky pro přípravu kaše,164.9,320 g
ovesne_vlocky,Relax Snack ovocné pyré s ovesnými vločkami,20.9,100 g
ovesne_vlocky,Rohlik.cz BIO Granola lesní ovoce,199.9,300 g
ovesne_vlocky,To není možný Liluka arašídová s hořkou čokoládou,124.9,60 g
ovesne_vlocky,To není možný Laskominda Pekanová s mléčnou čokoládou by @catandcook,129.9,68 g
ovesne_vlocky,"Beggs BIO Smoothie s ovocem, jogurtem a ovesnými vločkami",40.9,120 g
mleko,"Miil Trvanlivé polotučné mléko 1,5%",14.9,1 l
mleko,"Miil Trvanlivé polotučné mléko 1,5%, bez laktózy",19.9,1 l
mleko,"Miil Trvanlivé plnotučné mléko 3,5%",17.9,1 l
mleko,"Madeta Jihočeské trvanlivé polotučné mléko 1,5%",24.9,1 l
mleko,"Olma Čerstvé mléko polotučné 1,5 %",34.9,1 l
mleko,"Miil Čerstvé mléko polotučné 1,5 % tuku",18.9,1 l
mleko,"Meggle Trvanlivé bezlaktózové mléko polotučné 1,5%",49.9,1 l
mleko,"Pragolaktos Trvanlivé mléko s uzávěrem 1,5% polotučné",14.9,500 ml
mleko,"Tami BIO Čerstvé mléko polotučné 1,5%",45.9,1 l
mleko,"Mlékárna Kunín Lehké ráno mléko bez laktózy 1,5%",25.9,500 ml
mleko,Alnatura BIO Mléko trvanlivé polotučné,59.9,1 l
mleko,"Madeta Jihočeské mléko trvanlivé plnotučné 3,5%",27.9,1 l
mleko,Berchtesgadener Land BIO Čerstvé alpské mléko bez laktózy polotučné,60.9,1 l
mleko,"Bohemilk Čerstvé mléko ve skle plnotučné 3,5%",50.9,"0,75 l"
mleko,"Miil Čerstvé mléko plnotučné 3,5%",22.9,1 l
mleko,"Covap Ovčí mléko 1,6 % tuku",99.9,1 l
mleko,"Mlékárna Kunín Selské mléko plnotučné čerstvé 3,8%",44.9,1 l
mleko,"Meggle Trvanlivé bezlaktózové mléko plnotučné 3,5%",52.9,1 l
mleko,"Krajanka Čerstvé mléko plnotučné 3,5%",32.9,1 l
mleko,Mlékárna Kunín Kefírové mléko,24.9,300 g
mleko,"Madeta Lipánek mléko polotučné 1,5%",20.4,250 ml
mleko,"Mlékárna Kunín Lehké ráno mléko bez laktózy 1,5%",47.9,1 l
mleko,"Madeta Lipánek mléko vanilkové 1,3 %",20.4,250 ml
mleko,"Statek Slížany plnotučné nehomogenizované mléko 3,5%",49.9,1 l
mleko,Milko Tvaroh polotučný,29.9,250 g
banany,Banán 1 ks,6.95,cca 190 g
banany,"Banány, balení",36.47,"cca 0,68 kg"
banany,Banán Chiquita 1 ks,11.52,cca 200 g
banany,Banán k dozrání 1ks,8.45,cca 180 g
banany,"Baby banány, balení",41.9,250 g
banany,Banán červený 1 ks,21.3,cca 120 g
banany,Plantain banán 1 ks,30.99,cca 370 g
banany,"Baby banány, trs",64.17,cca 320 g
banany,"Miil Krémový jogurt banán, kapsička",16.9,120 g
banany,"Corny BIG Cereální tyčinka s banány, polomáčená v mléčné čokoládě",23.9,50 g
banany,Orion Banány v čokoládě,26.9,45 g
banany,"HiPP BIO Ovocná tyčinka jablko, banán a maliny",28.9,23 g
banany,Müllermilch Mléčný nápoj banán,32.4,400 g
banany,"HiPP BIO Ovocná tyčinka jablko, banán a oves",28.9,23 g
banany,Müllermilch Protein čoko-banán,41.9,400 g
banany,Relax Pyré hruška a banán,21.9,120 g
banany,Actimel Kids Probiotický nápoj banán a jahoda 8×100 g,127.9,"0,8 kg"
banany,"HiPP BIO Ovocná tyčinka banán, višeň a jogurt",28.9,23 g
banany,Krajanka DeLuXe smetanový jogurt banán a čokoláda,20.9,150 g
banany,"Rudolfs BIO Kapsička jablko, banán a borůvka",31.9,110 g
banany,"Rohlik.cz Hustej jogurt s müsli, banány a jahodami",79.9,305 g
banany,"Kubík Svačinka malina, jablko, banán, aronie + krupice",20.9,100 g
banany,"Rudolfs BIO Kapsička jablko, banán a jahoda se smetanou",31.9,110 g
banany,Babydream BIO Cereální tyčinka jablko a banán,14.9,25 g
banany,Mixit BIO Kapsička banán a borůvka,40.9,110 g
chleb,Pastýřský chléb,40.9,408 g
chleb,Rohlíkův Chléb tradiční kvasový,59.9,"0,6 kg"
chleb,Rohlíkův Chléb kvasový pšeničný – půlka,39.9,400 g
chleb,KRO Celozrnný kváskový chléb,145.9,"0,85 kg"
chleb,Artic Bakehouse Kváskový chléb – půlka,64.9,350 g
chleb,Rohlíkův chléb sedmnáctka – půlka,49.9,420 g
chleb,Merhautovo pekařství Chléb žitný,35.9,400 g
chleb,Artic Bakehouse Kváskový chléb,124.9,"0,8 kg"
chleb,Pekárna Kabát Ořechový chléb,84.9,300 g
chleb,Rustikální semolinový chléb,49.9,460 g
chleb,Rohlíkův řemeslný chléb žitno-pšeničný,61.9,"0,6 kg"
chleb,Eska Chléb 33 pšenično-žitný chléb,137.9,"0,78 kg"
chleb,"Yutto Toustový pšeničný chléb máslový, krájený",31.9,500 g
chleb,Pekárna Kabát Chléb třicátník,104.9,"0,9 kg"
chleb,Chléb celozrnný žitný,75.9,"0,75 kg"
chleb,Merhautovo pekařství Chléb podmáslový,50.9,"0,6 kg"
chleb,Zrno zrnko Čtyřka kvasový chléb,139.9,"0,82 kg"
chleb,Rohlíkův chléb sedmnáctka,94.9,"0,9 kg"
chleb,Pekárna Kabát Kabátův Cvrček,72.9,"0,8 kg"
chleb,Artic Bakehouse chléb Old Charles – půlka,78.9,390 g
chleb,Artic Bakehouse Kváskový chléb Old Charles,156.9,"0,9 kg"
chleb,"Yutto Toustový pšeničný chléb, krájený",29.9,500 g
chleb,Antonínovo pekařství Antonínův chléb,80.9,"0,7 kg"
chleb,Zrno zrnko Čtyřka kvasový chléb – půlka,70.9,400 g
chleb,"Yutto Toustový pšeničný chléb s celozrnnou moukou, krájený",29.9,500 g
chleb,Rohlíkova řemeslná Šumava – půlka,50.9,400 g
maslo,Miil Máslo 82%,44.9,250 g
maslo,Milko Máslo,49.9,250 g
maslo,Madeta Jihočeské máslo 82 %,54.9,250 g
maslo,Tami Tatranské máslo bezlaktózové,44.9,125 g
maslo,Milko BIO Máslo,57.9,150 g
maslo,Dr. Halíř Máslo,30.9,125 g
maslo,Farma Struhy BIO Farmářské čerstvé máslo,98.9,200 g
maslo,Dublin Dairy Irské máslo,84.9,200 g
maslo,Delacto Máslo se sníženým obsahem laktózy,53.9,125 g
maslo,"Gran Moravia Čerstvé máslo, ručně krájené",74.53,cca 210 g
maslo,Kitchin BIO Ghee přepuštěné máslo,259.9,400 ml
maslo,Dublin Dairy Irské máslo slané,84.9,200 g
maslo,Président La Motte máslo s mořskou solí,99.9,250 g
maslo,Parmareggio BIO Burro máslo,109.9,250 g
maslo,Président Máslo Plaquette jemné,99.9,250 g
maslo,Président Máslo Plaquette poloslané,99.9,250 g
maslo,Les Prés Salés Camarque,164.9,250 g
maslo,Parmareggio Burro Máslo 83%,95.9,200 g
maslo,Agrofarma Máslo gazdovské 84%,117.9,250 g
maslo,Erlebnis Sennerei Máslo z louky 82 %,119.9,250 g
maslo,IDS Máslo nesolené z Isigny CHOP,129.9,250 g
maslo,Delamere Dairy Burro di Capra máslo kozí,66.9,125 g
maslo,Parmareggio Burro máslo 83% (12×10 g),54.9,125 g
maslo,Croissant máslový,13.9,58 g
maslo,Kitchin Ghee přepuštěné máslo,199.9,400 ml
vejce,Milujeme vejce Čerstvá podestýlková vejce M,80.9,10 ks
vejce,Milujeme vejce Čerstvá podestýlková vejce M,149.9,18 ks
vejce,Schubert Podestýlková vejce čerstvá M,89.9,10 ks
vejce,Milujeme vejce Čerstvá cereální vejce podestýlková  M,89.9,10 ks
vejce,Rohlik.cz Farmářská vejce z volného chovu,69.9,6 ks
vejce,Farmářská Vejce ze dvora z volného chovu,109.9,10 ks
vejce,Pohodová vejce z volného výběhu,99.9,10 ks
vejce,Pohodová vejce Podestýlková L,124.9,15 ks
vejce,Pohodová vejce Podestýlková L,45.9,6 ks
vejce,Schubert BIO Natur vejce M,80.9,6 ks
vejce,Čerstvá pasta Spaghetti,75.9,330 g
vejce,Babiččiny fleky vaječné,56.9,330 g
vejce,Čerstvá pasta Tagliatelle,75.9,330 g
vejce,Milujeme vejce Křepelčí vejce,70.9,18 ks
vejce,Simply fresh Sendvič Tuňák a vejce,80.9,188 g
vejce,Pappudia Tagliatelle vaječné těstoviny,34.9,250 g
vejce,Schubert Podestýlková Omega Pro vejce,70.9,6 ks
vejce,Čerstvá pasta Lasagne,75.9,330 g
vejce,Čerstvá pasta Pappardelle,75.9,330 g
vejce,Pappudia Bigoli vaječné těstoviny,34.9,250 g
vejce,Čerstvá pasta Fusilli,75.9,330 g
vejce,Čerstvá pasta Aglio olio,75.9,300 g
vejce,Čerstvá pasta Penne,75.9,330 g
vejce,Pappudia Tortelloni s náplní ricotta a špenát,49.9,250 g
vejce,Pappudia Tortellini s náplní Prosciutto Crudo,49.9,250 g
spagety,Barilla pasta Spaghetti,66.9,500 g
spagety,Kitchin Spaghetti N. 5,15.9,500 g
spagety,RUMMO Spaghetti,79.9,500 g
spagety,Adriana Spaghetti,49.9,500 g
spagety,Panzani Spaghetti,95.9,1 kg
spagety,Panzani Spaghetti,57.9,500 g
spagety,Čerstvá pasta Spaghetti,75.9,330 g
spagety,Adriana Tradizionale Spaghetti,55.9,500 g
spagety,Špagety,12.9,400 g
spagety,RUMMO Spaghetti bezlepkové,88.9,400 g
spagety,Alnatura BIO Špagety semolinové,56.9,500 g
spagety,Rosické těstoviny špagety,36.9,500 g
spagety,Panzani Spaghetti bezlepkové,75.9,400 g
spagety,Alnatura BIO Celozrnné Špagety No. 3,56.9,500 g
spagety,De Cecco Spaghetti,154.9,1 kg
spagety,Usui Konjakové špagety v nálevu,45.9,200 g
spagety,Alnavit BIO Špagety bezlepkové pohankové,80.9,190 g
spagety,Monograno Felicetti BIO Khorasan spaghetti,179.9,500 g
spagety,RUMMO Linguine,79.9,500 g
spagety,Marks & Spencer Spaghetti,60.9,500 g
spagety,Barilla Spaghetti bezlepkové těstoviny,90.9,400 g
spagety,Barilla Spaghetti Integrale semolinové těstoviny celozrnné,85.9,500 g
spagety,Sam Mills Kukuřičné těstoviny špagety bezlepkové,49.9,500 g
spagety,Kitchin BIO Fusilli N. 160 celozrnné,29.9,500 g
spagety,Adriana Vřetena Nejen na pánev 2 minuty,48.9,500 g
pesto,Kitchin Bazalkové pesto alla Genovese,37.9,190 g
pesto,Kitchin Pesto Rosso,37.9,190 g
pesto,Barilla Pesto bazalkové,114.9,190 g
pesto,Alnatura BIO Bazalkové pesto,86.9,130 g
pesto,Barilla Pesto bazalkové Vegan,114.9,195 g
pesto,Marks & Spencer Italské pesto s bazalkou,131.9,190 g
pesto,"Cascina San Cassiano Pesto omáčka ""Alla Genovese""",95.9,130 g
pesto,Cascina San Cassiano Bazalkové pesto s černými lanýži,116.9,130 g
pesto,Cascina San Cassiano Červené pesto s bazalkou a sušenými rajčaty,95.9,130 g
pesto,Jamie Oliver Zelené pesto,104.9,190 g
pesto,Alnatura BIO Pesto Rosso,80.9,130 g
pesto,Barilla Pesto Rosso,114.9,200 g
pesto,Filippo Berio Pesto ze sušených rajčat,77.9,190 g
pesto,Rohlik.cz Bazalka v květináči,50.9,1 ks
pesto,"Marks and Spencer Rajčatové pesto s extra panenským olivovým olejem, sušenými rajčaty a italským sýrem",131.9,190 g
pesto,Čerstvá pasta Pesto Bazalkové,154.9,110 ml
pesto,Jamie Oliver Pesto červené,104.9,190 g
pesto,Pappudia Veganské bazalkové pesto,70.9,60 g
pesto,Caseamo Gouda se zeleným pestem,107.79,cca 140 g
pesto,Kotányi Bazalka drhnutá,19.9,9 g
pesto,Barilla Basilico rajčatová omáčka s bazalkou,84.9,400 g
pesto,Fermato Fermentovaná salátová zálivka s příchutí bazalka,169.9,340 ml
pesto,Rana Ravioli Pesto alla Genovese,89.9,250 g
pesto,Čerstvá pasta Pesto ze sušených rajčat,154.9,110 ml
pesto,Živina Pesto Medvědí česnek,189.9,140 g
ryze,Kitchin Rýže jasmínová,27.9,500 g
ryze,Kitchin Rýže basmati,29.9,500 g
ryze,Kitchin Rýže dlouhozrnná,29.9,1 kg
ryze,Yutto Cereální rýžová kaše,44.9,300 g
