item,title,price,packaging
bread,Jablečná kapsa,12.9,105 g
milk,Pšeničná mouka polohrubá,9.9,1 kg
eggs,Špagety,11.9,500 g
butter,Máslový croissant,7.9,74 g
chicken,BIO Kuřecí prsní řízky,59.9,Dostupné pouze ve vybraných prodejnách
pasta,Špagety,15.9,500 g
rice,Dlouhozrnná rýže v varných sáčcích,19.9,4x100 g
chopped_tomatoes,Jablečná kapsa,12.9,105 g
onions,Cibule žlutá,36.9,5 kg - balení
frozen_vegetables,Avokado zelené,14.9,kus
yoghurt,"Bio jogurt bílý 3,8%, tuku",9.9,150 g
coffee,Cavatappi,15.9,500 g
bananas,Bio protlak jablko-banán,13.9,100 g
