item,title,price,packaging
bread,Breadway Kváskový toustáček žitný,37.9,400 g
milk,"Miil Trvanlivé polotučné mléko 1,5%",14.9,1 l
eggs,Varmuža Ruské vejce v aspiku,34.9,200 g
butter,Dr. Halíř Máslo,40.9,125 g
chicken,Světničkové kuře prsní řízek,59.78,cca 230 g
pasta,Kitchin Spaghetti N. 5,15.9,500 g
rice,Kitchin Rýže jasmínová,24.9,500 g
chopped_tomatoes,Kitchin Celá loupaná rajčata v rajčatové šťávě,24.9,400 g
onions,Cibule žlutá 1 ks,1.85,cca 90 g
frozen_vegetables,Agro Jesenice Zelenina s kukuřicí,20.9,350 g
yoghurt,"Miil Krémový jogurt bílý 3,7 % tuku",7.9,150 g
coffee,Mokate Café Irish Kávový nápoj 3v1,35.9,170 g
bananas,Banán 1 ks,7.78,cca 190 g
